name,parenting_age,lifetime
adão,130,930
sete,105,912
enoque,90,905
cainã,70,910
maalalel,65,895
jarede,162,962
enoque,65,365
matusalém,187,969
lameque,182,777
noé,502,950
sem,100,600
arfaxade,35,438
selá,30,433
éber,34,464
pelegue,30,239
reú,32,239
serugue,30,230
naor,29,148
terá,70,205
abraão,100,175
isaque,60,180
jacó,91,147
josé,0,110
